scenario,limit_mode,frequency_multiplier,severity_multiplier,design,expected_retention_per_claim,expected_retention_annual_per_vehicle,retention_share_of_losses,mc_retention_per_claim,mc_retention_annual_per_vehicle,mc_retention_share,expected_below_deductible,mc_below_deductible,expected_at_limit,mc_at_limit
Sensitivity,Unlimited,0.8,1.1,A,811.3278433323724,67.00640904128088,0.4364664886241157,811.3596097024753,67.00906724362761,0.43636998022328577,0.37842096469908454,0.37840314456898033,0.0,0.0
Sensitivity,Unlimited,0.8,1.1,B,857.7907395298497,70.84371334857966,0.4614619295192853,857.9762196391142,70.85906854090646,0.4614415870827734,0.08845397376282428,0.08843562652751076,0.0,0.0
Sensitivity,Limited,0.8,1.15,A,819.6132433470393,67.69068840752712,0.4217531512212947,819.6448768092675,67.6933359871679,0.4216596608703643,0.3634349321343261,0.3633991154422542,2.4156022343375e-105,0.0
Sensitivity,Limited,0.8,1.15,B,890.3609886795161,73.5336437571493,0.4581582298092449,890.5547349698452,73.54968303340631,0.4581386624359563,0.08405350486208875,0.08402727078027315,7.177927377396293e-170,0.0
Sensitivity,Unlimited,0.8,1.15,A,819.6132433470393,67.69068840752712,0.4217531512212947,819.6448768092675,67.6933359871679,0.4216596608703643,0.3634349321343261,0.3633991154422542,0.0,0.0
Sensitivity,Unlimited,0.8,1.15,B,890.3609886795161,73.5336437571493,0.4581582298092449,890.5547349698452,73.54968303340631,0.4581386624359563,0.08405350486208875,0.08402727078027315,0.0,0.0
Sensitivity,Limited,0.8,1.2,A,827.2688059469224,68.32295040028946,0.4079553302979627,827.3000935476381,68.32556974276996,0.4078645823394877,0.3494561088846014,0.34940619419025015,5.792762530075802e-101,0.0
Sensitivity,Limited,0.8,1.2,B,922.9029409948394,76.22123717054227,0.4551158842446035,923.10491617405,76.23795744961082,0.45509701259229557,0.08003317624604972,0.07999782924077575,8.443328258901383e-163,0.0
Sensitivity,Unlimited,0.8,1.2,A,827.2688059469224,68.32295040028946,0.4079553302979627,827.3000935476381,68.32556974276996,0.4078645823394877,0.3494561088846014,0.34940619419025015,0.0,0.0
Sensitivity,Unlimited,0.8,1.2,B,922.9029409948394,76.22123717054227,0.4551158842446035,923.10491617405,76.23795744961082,0.45509701259229557,0.08003317624604972,0.07999782924077575,0.0,0.0
Sensitivity,Limited,0.8,1.25,A,834.3608729663736,68.90867409701565,0.3949945707476743,834.3911179139554,68.91120763120638,0.39490608543526173,0.3363933804957248,0.3363439581067686,6.197091962144393e-97,0.0
Sensitivity,Limited,0.8,1.25,B,955.4200768150906,78.9067810250135,0.4523051779544511,955.6302271874736,78.92417787117901,0.4522869240095768,0.07634730029777143,0.07631477926691495,2.6990896335538135e-156,0.0
Sensitivity,Unlimited,0.8,1.25,A,834.3608729663736,68.90867409701565,0.3949945707476743,834.3911179139554,68.91120763120638,0.39490608543526173,0.3363933804957248,0.3363439581067686,0.0,0.0
Sensitivity,Unlimited,0.8,1.25,B,955.4200768150906,78.9067810250135,0.4523051779544511,955.6302271874736,78.92417787117901,0.4522869240095768,0.07634730029777143,0.07631477926691495,0.0,0.0
Sensitivity,Limited,0.8,1.3,A,840.947025771032,69.4526150605412,0.38280049970027646,840.9763899156742,69.4550761318119,0.3827142365747475,0.3241655026808055,0.32410290057409363,3.24629250128382e-93,0.0
Sensitivity,Limited,0.8,1.3,B,987.9153369275198,81.59051819598625,0.44970072198149214,988.133697202041,81.60859447487964,0.4496830566151586,0.07295710927661907,0.07293169799576252,2.725225294322492e-150,0.0
Sensitivity,Unlimited,0.8,1.3,A,840.947025771032,69.4526150605412,0.38280049970027646,840.9763899156742,69.4550761318119,0.3827142365747475,0.3241655026808055,0.32410290057409363,0.0,0.0
Sensitivity,Unlimited,0.8,1.3,B,987.9153369275198,81.59051819598625,0.44970072198149214,988.133697202041,81.60859447487964,0.4496830566151586,0.07295710927661907,0.07293169799576252,0.0,0.0
